release,feature,Total LOC,Mean CSB
2021-12,EclipseLink,2353494,0.0897562213563825
2021-12,GEF,85909,12.06846716647096
2021-12,GMF Runtime,129661,4.062043282743114
2021-12,JDT,1492503,23.468541379675745
2021-12,Mylyn,289909,4.128350422737903
2021-12,PDE,355424,11.80703506119305
2021-12,PTP,124832,4.918270197787463
2021-12,RAP,417770,3.0171159426384624
2021-12,Scout,263768,3.700838414634146
2021-12,Subversive,74505,21.46031480241125
2021-12,WebTools,311918,1.6408986863057324
2021-12,Window Builder,475209,0.4367904560323263
2021-12,m2e,73553,5.454360081564112
2022-03,BIRT,961260,29.36942120892389
2022-03,CDT,954279,12.343348404897034
2022-03,CVS,160038,9.83400736403694
2022-03,DataTools,560173,0.029733181947204
2022-03,EGit,127997,10.727246007641815
2022-03,EMF,685371,12.03131350452614
2022-03,EclipseLink,2375203,0.1146909940479501
2022-03,GEF,85909,12.06846716647096
2022-03,GMF Runtime,129665,4.061757886601559
2022-03,JDT,1495206,23.450666243654823
2022-03,Mylyn,291344,4.339801754858803
2022-03,PDE,357699,11.813055453022516
2022-03,PTP,124832,4.918270197787463
2022-03,RAP,417773,3.0171790235081373
2022-03,Scout,265610,3.6332585727024616
2022-03,Subversive,74505,21.46031480241125
2022-03,WebTools,311926,1.6417943869426752
2022-03,Window Builder,475271,0.4391148982957669
2022-03,m2e,71591,5.524792379091354
2022-06,BIRT,961283,29.369787021123848
2022-06,CDT,954860,12.35620819091157
2022-06,CVS,160038,9.83400736403694
2022-06,DataTools,560173,0.029733181947204
2022-06,EGit,129719,10.646643451344554
2022-06,EMF,685435,12.031867137130297
2022-06,EclipseLink,2416329,0.4431336337445519
2022-06,GEF,85909,12.06846716647096
2022-06,GMF Runtime,129610,0.0
2022-06,JDT,1499409,23.29663415340468
2022-06,Mylyn,291344,4.339801754858803
2022-06,PDE,359121,11.127246524245509
2022-06,PTP,124832,4.918270197787463
2022-06,RAP,417810,3.0173037298683822
2022-06,Scout,266246,3.641810775082958
2022-06,Subversive,74505,21.46031480241125
2022-06,WebTools,312127,1.6524183917197452
2022-06,Window Builder,477469,1.1513937619139707
2022-06,m2e,71087,5.721238938053097
2022-09,BIRT,961249,29.36904451116042
2022-09,CDT,955094,12.35960709905339
2022-09,CVS,160038,9.83400736403694
2022-09,DataTools,560173,0.029733181947204
2022-09,EGit,129214,10.68639455782313
2022-09,EMF,685735,12.05571251823537
2022-09,EclipseLink,2416421,0.4434422899353647
2022-09,GEF,82729,13.902809140999006
2022-09,GMF Runtime,129601,0.000773177760596
2022-09,JDT,1501304,23.35283061028668
2022-09,Mylyn,291365,4.345330418899901
2022-09,PDE,358915,11.10606488808501
2022-09,PTP,124832,4.918270197787463
2022-09,RAP,417991,3.0175058843308675
2022-09,Scout,269491,3.654391540043261
2022-09,Subversive,74505,21.46031480241125
2022-09,WebTools,312127,1.6524183917197452
2022-09,Window Builder,478010,1.172697413816897
2022-09,m2e,71827,5.872791952894995
2022-12,BIRT,961308,29.36801287838411
2022-12,CDT,937042,12.565447999485674
2022-12,CVS,160038,9.83400736403694
2022-12,DataTools,560173,0.029733181947204
2022-12,EGit,129825,10.714701036922182
2022-12,EMF,685876,12.050091360440009
