"project","release","commitHash","methodId","BOM","TACH","FCH","LCH","FRCH","WCH","WCD","CSB","CSBS","ACDF","LOC"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLocator.java::setRelativePosition(int)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLocator.java::setGap(int)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractLocator.java::getNewBounds(Dimension, Point)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","24"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractRouter.java::remove(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractRouter.java::getStartPoint(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractRouter.java::getConstraint(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractRouter.java::invalidate(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","8"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractRouter.java::getEndPoint(Connection)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","10"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AbstractRouter.java::setConstraint(Connection, Object)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","7"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ActionEvent.java::getActionName()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/ActionListener.java::actionPerformed(ActionEvent)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","4"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::fireAncestorMoved(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","4"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::dispose()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","4"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::figureMoved(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::getNumberOfListeners()","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::fireAncestorRemoved(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::fireAncestorAdded(IFigure)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","3"
"GEF","JunoSR0","4da32d966f3986a1313518d9e02489764d11b8dd","org.eclipse.draw2d/src/com/ibm/etools/draw2d/AncestorHelper.java::addAncestorListener(AncestorListener)","1","0","0","0","0","0,0000","0,0000","0","0,0000","0,0000","5"
