release,feature,Mean LOC,Normalized Mean LOC
PhotonM7,Mylyn,8.650682225666271,41.45533046362439
PhotonM7,PDE,10.109952055789627,98.94466307738512
PhotonM7,PTP,8.531439493804376,24.0607771326229
PhotonM7,RAP,8.77369447270261,69.3403568316148
PhotonM7,Scout,7.344234978926389,16.267425879298813
PhotonM7,Subversive,11.306842897774803,31.33027095448673
PhotonM7,WebTools,8.381966132775565,51.02828559727166
PhotonM7,Window Builder,13.062814831126648,9.219979913867265
PhotonRC4,BIRT,13.175048987589811,99.79096858649632
PhotonRC4,CDT,9.87770221034734,12.370675944131907
PhotonRC4,CVS,9.590222433686215,25.70612052865134
PhotonRC4,DataTools,9.93249897779595,63.60713631100855
PhotonRC4,EclipseLink,8.65063479129429,15.990892365358336
PhotonRC4,EGit,12.596055181849277,82.9408158990541
PhotonRC4,EMF,12.655384557495484,85.64376774837802
PhotonRC4,GEF,7.759822960888808,14.863712226762788
PhotonRC4,GMF Runtime,9.097189037245256,0.0
PhotonRC4,JDT,19.64659655776801,69.00994558685065
PhotonRC4,m2e,8.673617846750728,81.4735373291116
PhotonRC4,Mylyn,8.650682225666271,41.45533046362439
PhotonRC4,PDE,10.110617283950617,98.95117357079751
PhotonRC4,PTP,8.531439493804376,24.0607771326229
PhotonRC4,RAP,8.773736859952527,69.35619870676886
PhotonRC4,Scout,7.313896737734395,13.517934417312254
PhotonRC4,Subversive,11.306842897774803,31.33027095448673
PhotonRC4,WebTools,8.381994785249706,51.03062496271643
PhotonRC4,Window Builder,13.062814831126648,9.219979913867265
Photon.0,BIRT,13.175048987589811,99.79096858649632
Photon.0,CDT,9.874776758621886,11.264567161134563
Photon.0,CVS,9.590222433686215,25.70612052865134
Photon.0,DataTools,9.93249897779595,63.60713631100855
Photon.0,EclipseLink,8.65063479129429,15.990892365358336
Photon.0,EGit,12.592052829329386,82.1479711667949
Photon.0,EMF,12.655384557495484,85.64376774837802
Photon.0,GEF,7.759822960888808,14.863712226762788
Photon.0,GMF Runtime,9.097189037245256,0.0
Photon.0,JDT,19.647243053759734,69.10780729971864
Photon.0,m2e,8.673617846750728,81.4735373291116
Photon.0,Mylyn,8.684928193499623,43.16553547722554
Photon.0,PDE,10.110617283950617,98.95117357079751
Photon.0,PTP,8.531439493804376,24.0607771326229
Photon.0,RAP,8.773736859952527,69.35619870676886
Photon.0,Scout,7.316854869754908,13.786023746629619
Photon.0,Subversive,11.306842897774803,31.33027095448673
Photon.0,WebTools,8.381994785249706,51.03062496271643
Photon.0,Window Builder,13.062814831126648,9.219979913867265
2018-09,BIRT,13.175890446747365,99.81658581247315
2018-09,CDT,9.87457685814467,11.188985099174436
2018-09,CVS,9.58866555661275,25.54919193921424
2018-09,DataTools,9.93242906918865,63.60668862041992
2018-09,EclipseLink,9.1225528317836,97.18882766904723
2018-09,EGit,12.601310142308561,83.98179559728621
