release,feature,Total LOC,Normalized LOC
Neon.1,Window Builder,479311,87.6145747609183
Neon.1a,BIRT,1208195,98.9256559232259
Neon.1a,CDT,1112558,83.82786616667273
Neon.1a,CVS,162882,98.99892816633194
Neon.1a,DataTools,28318,5.031448775807541
Neon.1a,EclipseLink,1308582,17.893235721555143
Neon.1a,EGit,102599,54.374808334812855
Neon.1a,EMF,655022,72.26975888779789
Neon.1a,GEF,85909,82.6849948928734
Neon.1a,GMF Runtime,129498,86.21860149355058
Neon.1a,JDT,1285323,43.843526153001314
Neon.1a,m2e,69822,90.13576101814128
Neon.1a,Mylyn,248484,78.3661312084723
Neon.1a,PDE,348523,91.84782465470396
Neon.1a,PTP,129393,5.431123693068954
Neon.1a,RAP,386328,38.320228589956635
Neon.1a,Scout,195479,4.438868055751356
Neon.1a,Subversive,67576,58.85288247035341
Neon.1a,WebTools,271340,82.91145873360767
Neon.1a,Window Builder,479311,87.6145747609183
Neon.2,BIRT,1208542,99.0413237465708
Neon.2,CDT,1115053,84.58483513549592
Neon.2,CVS,163117,99.24347274108453
Neon.2,DataTools,28318,5.031448775807541
Neon.2,EclipseLink,1300732,17.34528630880335
Neon.2,EGit,103676,56.1131107058121
Neon.2,EMF,655022,72.26975888779789
Neon.2,GEF,85909,82.6849948928734
Neon.2,GMF Runtime,129498,86.21860149355058
Neon.2,JDT,1299434,46.69241453940515
Neon.2,m2e,69883,90.21671333589903
Neon.2,Mylyn,265067,83.6431735444617
Neon.2,PDE,350974,92.49374764466066
Neon.2,PTP,129393,5.431123693068954
Neon.2,RAP,386346,38.33846715032627
Neon.2,Scout,197790,6.610840123683048
Neon.2,Subversive,67576,58.85288247035341
Neon.2,WebTools,271340,82.91145873360767
Neon.2,Window Builder,473836,79.84619313828428
Neon.3,BIRT,1208782,99.1213245465788
Neon.3,CDT,1117148,85.2204463538064
Neon.3,CVS,163775,99.9281975503918
Neon.3,DataTools,28318,5.031448775807541
Neon.3,EclipseLink,1301262,17.382281619473215
Neon.3,EGit,104405,57.28973320205949
Neon.3,EMF,655551,72.6820030859868
Neon.3,GEF,85909,82.6849948928734
Neon.3,GMF Runtime,129499,86.28649015614393
Neon.3,JDT,1305381,47.89306220675286
Neon.3,m2e,69887,90.22202168460446
Neon.3,Mylyn,275729,87.03603523331891
Neon.3,PDE,350974,92.49374764466066
Neon.3,PTP,129393,5.431123693068954
Neon.3,RAP,386346,38.33846715032627
Neon.3,Scout,203645,12.113607954812455
Neon.3,Subversive,67579,58.87049430550664
Neon.3,WebTools,271343,82.91250672460893
Neon.3,Window Builder,473931,79.98098697465876
Neon.3_respin,BIRT,1208803,99.1283246165795
Neon.3_respin,CDT,1117198,85.23561607262047
Neon.3_respin,CVS,163775,99.9281975503918
Neon.3_respin,DataTools,28318,5.031448775807541
Neon.3_respin,EclipseLink,1303185,17.51651177497916
Neon.3_respin,EGit,104116,56.82328066239488
Neon.3_respin,EMF,655573,72.69914745717804
Neon.3_respin,GEF,85909,82.6849948928734
Neon.3_respin,GMF Runtime,129499,86.28649015614393
Neon.3_respin,JDT,1312353,49.30064847491298
Neon.3_respin,m2e,69887,90.22202168460446
Neon.3_respin,Mylyn,276053,87.13913851480359
Neon.3_respin,PDE,347639,91.61486018178607
Neon.3_respin,PTP,129393,5.431123693068954
Neon.3_respin,RAP,386346,38.33846715032627
Neon.3_respin,Scout,204045,12.489544271200458
Neon.3_respin,Subversive,67579,58.87049430550664
Neon.3_respin,WebTools,271343,82.91250672460893
Neon.3_respin,Window Builder,473931,79.98098697465876
Oxygen,BIRT,1208946,99.17599175991761
Oxygen,CDT,1118115,85.51382871567093
Oxygen,CVS,163844,100.0
Oxygen,DataTools,28318,5.031448775807541
Oxygen,EclipseLink,1304446,17.60453269338426
Oxygen,EGit,106697,60.9890730668044
Oxygen,EMF,655601,72.72096756596686
Oxygen,GEF,85909,82.6849948928734
Oxygen,GMF Runtime,129499,86.28649015614393
