release,feature,Mean CSB,Normalized Mean CSB
KeplerPostRC4,PTP,3.7738014198191188,0.0
KeplerPostRC4,RAP,3.0741800892683875,97.9210523997579
KeplerPostRC4,Scout,2.6608789597561446,67.4835868179918
KeplerPostRC4,Subversive,3.8761586948461253,18.020228734378588
KeplerPostRC4,WebTools,1.2905490097768864,53.77028608664579
KeplerPostRC4,Window Builder,0.28697389451252,0.0023942226544676516
KeplerSR0,BIRT,9.83891709718188,0.060146144775688894
KeplerSR0,CDT,7.072220930773165,4.604368623238552
KeplerSR0,CVS,4.965042745052114,0.3642211613694803
KeplerSR0,DataTools,7.212093023255814,97.66375968992247
KeplerSR0,EclipseLink,2.7882297345906717,34.796789475022415
KeplerSR0,EGit,8.098175787728026,15.154889933789658
KeplerSR0,EMF,12.409083820662769,36.511744881012305
KeplerSR0,GEF,12.236670536750916,70.25754478550579
KeplerSR0,GMF Runtime,4.015893287923939,98.8638724009851
KeplerSR0,JDT,21.314462902974345,68.51751878523275
KeplerSR0,m2e,7.569413017436443,86.0211016752405
KeplerSR0,Mylyn,2.140279196458972,30.295246192022944
KeplerSR0,PDE,7.383482084263027,62.05574302524135
KeplerSR0,PTP,3.7988987428125913,0.8770431125798626
KeplerSR0,RAP,3.0913846973623658,100.0
KeplerSR0,Scout,2.6636521069847987,67.56260598059328
KeplerSR0,Subversive,3.8954587581093607,18.110183460803135
KeplerSR0,WebTools,1.4276736335559865,60.82707393212441
KeplerSR0,Window Builder,0.2872326256626089,0.0033191837454254916
KeplerSR1,BIRT,9.861882664898907,0.17766141625513945
KeplerSR1,CDT,7.106480451072038,5.107149790615497
KeplerSR1,CVS,4.970195573252138,0.42759589444854845
KeplerSR1,DataTools,7.279944289693593,98.58257892293408
KeplerSR1,EclipseLink,2.7936461672981636,34.86447291954804
KeplerSR1,EGit,8.299755501222494,20.819862477210318
KeplerSR1,EMF,12.526907051906079,39.265769636267066
KeplerSR1,GEF,12.236670536750916,70.25754478550579
KeplerSR1,GMF Runtime,4.015893287923939,98.8638724009851
KeplerSR1,JDT,21.313487115544472,68.5036971878168
KeplerSR1,m2e,7.576151905457443,86.1085383118101
KeplerSR1,Mylyn,2.4516403590219746,35.545138181057666
KeplerSR1,PDE,8.96059370412657,75.31084844670224
KeplerSR1,PTP,3.8625571449638696,3.10162950289482
KeplerSR1,RAP,2.9968282736746716,88.57411636235926
KeplerSR1,Scout,2.6742870250019113,67.86564157400295
KeplerSR1,Subversive,3.8975166790214972,18.11977512431893
KeplerSR1,WebTools,1.4670910326926643,62.85559525427723
KeplerSR1,Window Builder,0.28815726386447177,0.006624755415642005
LunaSR0,BIRT,9.918205891724995,0.46586849968635924
LunaSR0,CDT,7.111982642009605,5.187898089441263
LunaSR0,CVS,4.970195573252138,0.42759589444854845
LunaSR0,DataTools,7.279944289693593,98.58257892293408
LunaSR0,EclipseLink,2.87760758771055,35.91365020054968
LunaSR0,EGit,8.405504857226965,23.791725011711783
LunaSR0,EMF,13.730940058705391,67.40908799444018
LunaSR0,GEF,12.238992587300169,70.27277586959529
LunaSR0,GMF Runtime,4.011492622020431,98.75553613775021
LunaSR0,JDT,20.94604171048587,63.29899552269269
LunaSR0,m2e,7.602690118986032,86.45286991730265
LunaSR0,Mylyn,2.7093618302227576,39.890605919942594
LunaSR0,PDE,9.146085430784124,76.86984551494236
LunaSR0,PTP,4.376299076212471,21.054692567120874
LunaSR0,RAP,3.0224742948778416,91.6730962371028
LunaSR0,Scout,3.0230016863406406,77.80205614338604
LunaSR0,Subversive,4.0056974820805,18.623989769153678
LunaSR0,WebTools,1.4722531207514522,63.121249658764256
LunaSR0,Window Builder,0.2884502690320175,0.007672245751986303
z20140806,BIRT,9.918205891724995,0.46586849968635924
z20140806,CDT,7.111982642009605,5.187898089441263
z20140806,CVS,4.970195573252138,0.42759589444854845
z20140806,DataTools,7.279944289693593,98.58257892293408
z20140806,EclipseLink,2.87760758771055,35.91365020054968
z20140806,EGit,8.405504857226965,23.791725011711783
z20140806,EMF,13.730940058705391,67.40908799444018
z20140806,GEF,12.238992587300169,70.27277586959529
z20140806,GMF Runtime,4.011492622020431,98.75553613775021
z20140806,JDT,20.94604171048587,63.29899552269269
z20140806,m2e,7.602690118986032,86.45286991730265
z20140806,Mylyn,2.7093618302227576,39.890605919942594
z20140806,PDE,9.146085430784124,76.86984551494236
z20140806,PTP,4.376299076212471,21.054692567120874
z20140806,RAP,3.0224742948778416,91.6730962371028
z20140806,Scout,3.0230016863406406,77.80205614338604
z20140806,Subversive,4.0056974820805,18.623989769153678
z20140806,WebTools,1.4722531207514522,63.121249658764256
z20140806,Window Builder,0.2884502690320175,0.007672245751986303
z20140805-2300,BIRT,9.918205891724995,0.46586849968635924
z20140805-2300,CDT,7.111982642009605,5.187898089441263
z20140805-2300,CVS,4.970195573252138,0.42759589444854845
z20140805-2300,DataTools,7.279944289693593,98.58257892293408
z20140805-2300,EclipseLink,2.87760758771055,35.91365020054968
z20140805-2300,EGit,8.405504857226965,23.791725011711783
z20140805-2300,EMF,13.730940058705391,67.40908799444018
z20140805-2300,GEF,12.238992587300169,70.27277586959529
z20140805-2300,GMF Runtime,4.011492622020431,98.75553613775021
z20140805-2300,JDT,20.94604171048587,63.29899552269269
z20140805-2300,m2e,7.602690118986032,86.45286991730265
z20140805-2300,Mylyn,2.7093618302227576,39.890605919942594
z20140805-2300,PDE,9.146085430784124,76.86984551494236
z20140805-2300,PTP,4.376299076212471,21.054692567120874
z20140805-2300,RAP,3.0224742948778416,91.6730962371028
z20140805-2300,Scout,3.0230016863406406,77.80205614338604
z20140805-2300,Subversive,4.0056974820805,18.623989769153678
z20140805-2300,WebTools,1.4722531207514522,63.121249658764256
z20140805-2300,Window Builder,0.2884502690320175,0.007672245751986303
LunaRC4,BIRT,9.92905123589586,0.5213643437356433
LunaRC4,CDT,7.133895505046837,5.5094838782181474
LunaRC4,CVS,4.973267037145364,0.4653718879106067
LunaRC4,DataTools,7.279944289693593,98.58257892293408
LunaRC4,EclipseLink,2.853030760365502,35.606539520872325
LunaRC4,EGit,8.589616450342715,28.965792887122195
LunaRC4,EMF,13.767709858937794,68.26855296596767
LunaRC4,GEF,12.251962883654533,70.35785225800672
LunaRC4,GMF Runtime,4.014471164077463,98.82886233960743
LunaRC4,JDT,20.893009226401702,62.54781383850615
LunaRC4,m2e,7.615285308546347,86.61629168787941
LunaRC4,Mylyn,2.6493915232899705,38.87944052168042
LunaRC4,PDE,9.146085430784124,76.86984551494236
LunaRC4,PTP,4.38877128836717,21.490542548880224
LunaRC4,RAP,3.021420996818664,91.54581920408317
LunaRC4,Scout,3.007002846951798,77.34617883617383
LunaRC4,Subversive,4.007167800036758,18.630842702623813
LunaRC4,WebTools,1.4831800506141597,63.68357773463027
LunaRC4,Window Builder,0.34864951254594856,0.22288389667361103
LunaSR2,BIRT,10.083348859638548,1.3109083848922194
LunaSR2,CDT,7.227408466508606,6.881848567462495
LunaSR2,CVS,4.980217199882595,0.5508520730109033
LunaSR2,DataTools,7.279944289693593,98.58257892293408
LunaSR2,EclipseLink,2.8116127554354784,35.088982414482736
LunaSR2,EGit,8.687908032926483,31.728070434469185
LunaSR2,EMF,14.037239889688157,74.56860406063008
LunaSR2,GEF,12.25327861539834,70.3664825700538
LunaSR2,GMF Runtime,3.987560615644107,98.16637436101594
LunaSR2,JDT,20.55429492396317,57.750075536071776
LunaSR2,m2e,7.637026612077789,86.89838369616089
LunaSR2,Mylyn,2.6429906542056076,38.771514821980944
LunaSR2,PDE,9.146085430784124,76.86984551494236
LunaSR2,PTP,4.866066105848844,38.16993630140269
LunaSR2,RAP,2.920441163148836,79.3437520756716
LunaSR2,Scout,0.3760186263096624,2.3778656558696727
